"genotype","DTS","PH","GY"
"PI601319:250032442/B47",63.8029171179766,193.165258814734,11.6807989362222
"PI597925:250031325/B47",64.9749075570021,211.831925481401,11.1791416797483
"PI638551:250031150/B47",65.8660154778495,216.438311295874,12.4001578135525
"PI601360:250031440/B47",63.1487668413481,201.952666225845,11.4368324298704
"PI601558:250034836/B47",63.3263181940201,203.748690546088,11.9420559306555
"PI550464:250041725/B47",64.5864683692291,210.761644633374,11.2270013177416
"PI533659:250033273/B47",65.1542754068847,198.59081437029,10.6692697313254
"NSL28967:250033491/B47",65.7049646106948,203.266369925845,11.0936238686158
"PI538007:250032771/B47",63.9749666199896,198.090444003623,11.8486819979384
"PI600791:250033467/B47",64.105193665713,194.405629181401,12.5440906616988
"NSL34374:250034617/B47",64.4470199206877,219.13711067029,11.872792119561
"Ames24707:250034758/B47",62.9131305404572,190.127851403623,10.5608364995507
"PI601005:250032182/B47",63.3133121025787,194.100444003623,11.5921500167424
"NSL30054:250034865/B47",63.1867995055118,207.960040932437,10.4039849897764
"NSL81597:250032565/B47",64.2369184773767,205.841555114734,10.2009402374614
"Ames23406:250032412/B47",63.3817245000357,207.498221781401,10.3517780279062
"Ames23424:250032464/B47",62.9439101013938,217.267851403623,11.000268799204
"PI601009:250040770/PHZ51",64.825087491594,234.32472638805,12.2622769820706
"Ames24710:250034673/B47",64.7908139581407,212.572666225845,11.659705512259
"NSL30896:250033826/B47",64.8578917832111,209.01711067029,11.7727304345565
"Ames22755:250034615/B47",65.3270475010921,206.183777336956,11.706540521594
"PI601567:250031452/B47",63.5648898009137,198.321925481401,11.5826504319018
"NSL32736:250035212/B47",63.3086975818046,208.905824101548,11.2929485596391
"PI531082:250034797/B47",63.5041100786967,209.405629181401,11.7508591979901
"PI601006:250031516/B47",64.301929927993,202.072666225845,10.9126084895635
"PI601570:250032468/B47",63.4590861985229,213.173777336956,12.4845389633441
"PI601562:250034800/B47",64.5291907053743,206.683036592512,11.7619398873412
"PI601497:250030994/B47",63.9718096132903,197.378592148067,11.9896301889195
"PI594077:250031893/B47",66.0305800668683,208.368962514734,11.5680587760135
"PI597578:250033591/B47",65.5344983466226,215.294888448067,12.5980556400754
"PI601499:250031159/B47",65.4133810519237,208.072666225845,12.1219398460505
"Ames24750:250040794/B47",65.7231933063634,219.840444003623,11.0620314468415
"PI517971:250032940/B47",64.6310727853058,204.720444003623,10.9744417608218
"PI601727:250035259/B47",63.2903968231162,191.953036592512,11.5223443019632
"PI601783:250031695/B47",65.6761916902253,197.47081437029,12.8667500739987
"PI601725:250033600/B47",65.1484567864109,210.405629181401,13.4541873982933
"PI606769:250040776/B47",64.0080134396448,211.30451807029,11.3212329868164
"EP51:250001441/B47",64.0699889344394,198.647696165883,11.0776189084088
"PI601208:250032429/B47",65.3778302912354,198.832295848067,11.3162627358126
"Ames24712:250041424/B47",65.4997730051154,201.257851403623,10.4945583089459
