<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
Z003E0018/PHZ51	0.013733396	-0.007633176	-0.007848785	-0.02223493	0.00139958
Z003E0019/PHZ51	0.015232321	-0.021310784	0.008662254	-0.03190142	0.0037257753
Z003E0023/PHZ51	0.029957633	0.0055325744	-0.015641196	-0.021475438	-0.010829435
Z003E0029/PHZ51	0.020645669	0.0030168395	0.018929126	-0.028929127	-0.005865421
Z003E0032/PHZ51	0.026525743	-0.002456027	0.01782431	0.016273554	-5.4658833E-4
Z003E0033/PHZ51	0.015634427	-0.009610265	-0.016566683	-0.012347713	0.026445253
Z003E0037/PHZ51	0.009515942	-0.017634992	0.005343529	-0.02766249	0.0012169712
Z003E0038/PHZ51	0.01553878	-0.007642689	0.012472959	6.3188554E-4	-0.022431493
Z003E0040/PHZ51	0.01179922	-0.02890655	-0.00573118	0.0012832448	5.229492E-5
Z003E0041/PHZ51	0.026406046	-0.002002779	-0.006428861	0.0019668313	-0.02894956
Z003E0044/PHZ51	0.02178707	-0.010173934	0.026031645	-0.011821293	-0.013266323
Z003E0045/PHZ51	0.023935698	-0.013878798	-0.017063227	-0.011372777	-0.01698647
Z003E0047/PHZ51	0.013526009	-0.0074157123	-0.01981025	-0.014738661	0.01517057
Z003E0051/PHZ51	0.013400481	0.015926408	0.0021586944	-0.0133637665	-0.0049556023
Z003E0055/PHZ51	0.013430097	-0.02033892	0.030496793	-0.0017783993	0.0026961674
Z003E0061/PHZ51	0.017018873	-0.023625873	0.019740466	-0.0059423125	0.017235931
Z003E0066/PHZ51	0.0345128	-0.01166657	-0.0020950886	-5.593556E-4	-0.026985835
Z003E0068/PHZ51	0.017914085	-0.021760138	0.023117485	-0.0027865914	-0.011532865
Z003E0069/PHZ51	0.012707743	0.0034604566	0.021648157	-0.015907474	0.017082734
Z003E0070/PHZ51	-1.8946118E-4	-0.026389806	0.011663438	-0.0046695443	0.009696985
Z003E0071/PHZ51	0.0026279197	-9.867583E-4	0.004326547	-0.00988709	0.010186975
Z003E0077/PHZ51	0.019278279	-0.010765808	-0.015878964	-0.016290206	0.00739229
Z003E0081/PHZ51	0.033734817	-0.012551093	0.0066896435	-0.004563663	-0.020661088
Z003E0088/PHZ51	-0.004066541	-0.027882567	0.01330578	0.0012369782	0.0056686904
Z003E0092/PHZ51	0.013321839	-0.014235025	0.030800816	-0.0028325042	0.004402693
Z003E0095/PHZ51	0.032760873	-0.0037857338	-0.00846432	-0.020483645	-0.008236302
Z003E0096/PHZ51	-0.0034605796	-0.021821992	0.008772225	0.0030404846	0.005050698
Z003E0098/PHZ51	0.00401932	-0.0128755625	0.022151832	0.012000315	0.0033099358
Z003E0100/PHZ51	0.0056135417	-0.014680557	0.012228614	-0.024645003	0.021602083
Z003E0102/PHZ51	0.00237527	0.007477554	0.010600978	-0.021678722	-0.013816827
Z003E0105/PHZ51	0.025953462	-0.03439431	0.0016826157	-0.0065080216	-0.013111874
Z003E0111/PHZ51	0.025614208	-0.025735624	-0.009974909	0.010424559	-0.009756644
Z003E0112/PHZ51	0.00881429	-0.004007608	0.015476913	-0.019291932	-0.006334784
Z003E0114/PHZ51	9.202215E-4	-0.01447905	0.01069747	-0.020287054	0.024100292
Z003E0115/PHZ51	0.005845671	1.9307145E-4	0.01452441	-0.025142882	-0.009524639
Z003E0117/PHZ51	0.017040996	-0.013239122	-0.013826784	-0.020744063	0.008301055
Z003E0118/PHZ51	0.021576896	-0.016775027	-0.012154037	0.012664018	-0.023007419
Z003E0120/PHZ51	0.017291058	-0.0014943703	0.01627961	-0.027238877	-0.0050032195
Z003E0126/PHZ51	0.006995515	-0.01242822	0.007647211	-0.010805562	0.01791787
Z003E0128/PHZ51	-0.0015793869	-0.030916935	0.016176088	-0.0012578015	0.005795707
Z003E0129/PHZ51	9.5598795E-4	-0.006680463	0.001468931	-0.017792018	-0.0041787825
Z003E0133/PHZ51	0.027238782	-0.004674141	-0.008620061	-0.01689267	0.011855705
Z003E0134/PHZ51	0.020046351	-0.010202728	-0.016299132	0.0010135729	0.010972656
Z003E0135/PHZ51	0.022595266	0.0025309692	-0.01992975	-0.018781021	-0.0015972228
Z003E0136/PHZ51	0.018020391	1.8453567E-4	0.018634943	-0.034915503	-0.010040368
Z003E0137/PHZ51	-4.5845204E-4	-0.017899385	0.014814688	0.004231223	0.010324103
Z003E0138/PHZ51	0.01050877	0.0032572702	0.016406214	-0.028547123	-0.0031010523
Z003E0141/PHZ51	-0.0063436097	-0.026501752	0.003103119	-0.0019849143	-0.02114442
Z003E0142/PHZ51	0.020157842	-0.021250859	0.001570387	-0.024844471	-8.370157E-4
Z003E0144/PHZ51	0.03057366	-0.0043234467	0.0026790642	0.010279902	-0.025560416
Z003E0145/PHZ51	-0.004089854	-0.008434635	0.0014618022	-0.024181927	0.01055781
Z003E0147/PHZ51	0.022537248	-0.026829164	-0.003867616	0.0011818027	-0.020243073
Z003E0148/PHZ51	0.018432792	-3.0625288E-4	0.014211725	-0.016702076	0.015363743
Z003E0150/PHZ51	0.022683352	0.001695373	0.033308726	-0.01549107	0.0062565054
Z003E0153/PHZ51	0.030531019	-0.014810971	0.022876022	-0.0014116452	-0.028298045
Z003E0154/PHZ51	-0.004116196	-0.013905261	0.0010648782	-0.030149776	-0.007876356
Z003E0155/PHZ51	-0.010879233	-4.0170146E-4	0.0024339773	-0.013951623	0.013352057
Z003E0156/PHZ51	0.030765852	0.009154567	0.0047735507	-0.0114477845	0.014697282
Z003E0164/PHZ51	0.0047951676	0.013182098	0.01618528	-0.014620435	-0.003999973
Z003E0167/PHZ51	0.017464716	-0.024695987	-0.011044391	0.008476448	0.0085034985
Z003E0179/PHZ51	0.02131697	0.00985861	0.016083114	-0.009509303	0.007914741
Z003E0181/PHZ51	-0.009005162	-0.0019752036	0.0039496785	-0.015517961	0.014847969
Z003E0185/PHZ51	-0.0030732516	-0.00960171	0.0057063224	-0.018881151	0.021379605
Z003E0186/PHZ51	0.03020951	0.010614998	0.0039582797	-0.008494024	-0.0010864643
Z003E0187/PHZ51	-0.0019506678	-0.025031356	0.0060626958	-0.0044469046	-0.012891886
Z003E0191/PHZ51	0.018133936	0.0027502049	-0.018058369	-0.009032601	-0.01513697
Z003E0192/PHZ51	0.024237348	-0.00721894	0.020422274	-0.021396285	-0.014090551
Z003E0200/PHZ51	0.014900089	-0.002904746	-0.022617897	-0.011019883	0.01709545
Z004E0001/PHZ51	0.009324583	-0.0041498006	-0.016875587	0.0267557	0.011590419
Z004E0002/PHZ51	-0.004552066	-0.019485062	0.0044408576	0.0063240114	0.019633979
Z004E0008/PHZ51	-0.008985972	-0.02147907	-3.8855732E-4	0.0017805116	-0.015116635
Z004E0011/PHZ51	0.011898723	0.01831885	0.02813162	-0.0042141187	0.017390648
Z004E0013/PHZ51	0.026123352	-0.017867481	-0.0018019072	-9.522283E-4	0.0011421376
Z004E0016/PHZ51	0.005468378	-0.009367871	0.012585375	-0.0149273835	0.03560616
Z004E0017/PHZ51	0.0039665108	-0.0033434578	0.019841244	0.0081893	0.005042519
Z004E0019/PHZ51	-0.005244611	-0.015632989	-9.916164E-4	0.010341333	0.016072003
Z004E0027/PHZ51	0.006116118	0.004694156	0.025682569	0.023865499	-6.807503E-4
Z004E0029/PHZ51	0.017039211	0.01577501	0.02011258	-0.009612614	0.01811368
Z004E0031/PHZ51	0.0033196632	-0.026619066	0.0100913495	0.001984454	-0.0043305745
Z004E0033/PHZ51	0.014442418	-0.010144024	0.020059159	0.0049745506	-0.012035972
Z004E0042/PHZ51	0.009261179	0.015822569	0.006977175	-0.010868864	0.023423482
Z004E0043/PHZ51	0.016468676	0.010977329	-0.014355311	-0.010726324	0.02414153
Z004E0045/PHZ51	0.0041214335	-0.02188076	-0.008138317	0.011265816	0.017990768
Z004E0048/PHZ51	-4.9680076E-4	-0.022308901	0.008065188	0.009371955	-0.010198991
Z004E0051/PHZ51	0.009727115	-0.001683853	-0.020220103	0.012930958	0.012663686
Z004E0052/PHZ51	0.01212625	-0.010434237	-0.021084694	-0.025507418	0.00697773
