<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
Z002E0199/PHZ51	-0.0035248029	-0.010072313	-0.015443429	-0.011366363	-0.0054649306
Z003E0005/PHZ51	0.0116535835	-0.005716768	0.0037004503	-0.014227861	0.014335351
Z003E0008/PHZ51	0.021258231	-0.006303437	-0.0031289156	0.0099633485	-0.020005489
Z003E0016/PHZ51	0.019456733	-0.017150542	-0.0188835	-0.007723765	-0.0049081095
Z003E0018/PHZ51	0.013811372	-0.0037807233	-0.011836656	-0.020382896	-0.0033196574
Z003E0019/PHZ51	0.015197351	-0.019060431	-0.0019074461	-0.034028854	-0.0015525658
Z003E0021/PHZ51	-0.008891277	-0.008553148	9.6748373E-4	-0.005218537	0.0087826075
Z003E0023/PHZ51	0.02590227	0.011536959	-0.020997968	-0.016298117	-0.013660266
Z003E0029/PHZ51	0.023192223	0.0041118283	0.014318646	-0.026445692	-0.011209986
Z003E0032/PHZ51	0.03086252	-9.419685E-4	0.013828404	0.017502291	0.0070525594
Z003E0033/PHZ51	0.0152607	-0.0022953562	-0.021653168	-0.016182898	0.023594646
Z003E0037/PHZ51	0.009615529	-0.016245099	-0.0022116033	-0.029008852	-0.0038637142
Z003E0038/PHZ51	0.020059504	-0.008125994	0.010229695	0.0071639656	-0.017609896
Z003E0040/PHZ51	0.013666292	-0.025132457	-0.012624459	0.0010530184	0.0056819
Z003E0041/PHZ51	0.026356092	1.4475909E-4	-0.009813671	0.010657489	-0.024345035
Z003E0044/PHZ51	0.023688298	-0.010223084	0.017481545	-0.010390165	-0.010995965
Z003E0045/PHZ51	0.023322023	-0.010415864	-0.021403758	-0.0052572927	-0.017816385
Z003E0047/PHZ51	0.011121832	-0.0014383518	-0.024321219	-0.016692055	0.012541731
Z003E0051/PHZ51	0.014476903	0.017081995	0.0026275974	-0.009530434	-0.008493049
Z003E0055/PHZ51	0.020387024	-0.02004822	0.023768764	-0.0031793371	0.008309818
Z003E0061/PHZ51	0.020397926	-0.02151331	0.010322313	-0.011315342	0.020076763
Z003E0066/PHZ51	0.035514083	-0.008184773	-0.008508027	0.007752728	-0.02122683
Z003E0068/PHZ51	0.021316327	-0.021838816	0.014462668	-0.0018644602	-0.0054842224
Z003E0069/PHZ51	0.013973328	0.005309589	0.015522293	-0.020351099	0.015637022
Z003E0070/PHZ51	0.004716739	-0.02550404	0.006198601	-0.008042439	0.014211582
Z003E0071/PHZ51	0.0028281596	-0.0012850265	0.0016318904	-0.01265812	0.007586789
Z003E0077/PHZ51	0.017149897	-0.005440174	-0.022072112	-0.016518828	0.0032426813
Z003E0081/PHZ51	0.033441734	-0.009686362	-0.0017523125	4.2062573E-4	-0.016384052
Z003E0084/PHZ51	0.0116612045	-0.019452339	0.022537813	0.0022987912	0.001746533
Z003E0088/PHZ51	0.0028194115	-0.028903395	0.009039827	-6.9413567E-4	0.0112457
Z003E0092/PHZ51	0.019314324	-0.01379042	0.0244098	-0.0045402814	0.010967162
Z003E0094/PHZ51	0.027670043	-0.0046014665	-0.0068204165	0.01674406	-0.016493617
Z003E0095/PHZ51	0.030907327	0.0026631786	-0.015965628	-0.015724117	-0.00990579
Z003E0096/PHZ51	0.0026085367	-0.022646539	0.006089615	0.0017979908	0.009741037
Z003E0098/PHZ51	0.007463858	-0.013839167	0.016852392	0.00901432	0.0113429455
Z003E0100/PHZ51	0.00955696	-0.013119042	0.0074685654	-0.029453132	0.016705362
Z003E0102/PHZ51	0.0035966642	0.0056275646	0.009982198	-0.017548507	-0.016532287
Z003E0105/PHZ51	0.027721819	-0.032258045	-0.008615654	-0.0040367725	-0.010045025
Z003E0111/PHZ51	0.02556874	-0.022367809	-0.017644357	0.012930263	-0.0039249873
