pheno	geno	nam	intercept	gsEffect	r2	pval
PH	rlcbp	Mo18W	135.564269505763	2.28476313630232e-07	0.00303916020738469	0.670419208694622
GY	rlcbp	Mo18W	73.6065243340349	-1.06396952881019e-07	0.109975076191767	0.00903242476360984
GYraw	rlcbp	Mo18W	57.6624482012866	-1.08122410240819e-07	0.11894084859427	0.0064904754236743
DTS	rlcbp	Ms71	153.807114128532	-1.82965795877329e-07	0.0306194444679339	0.188916124106974
PH	rlcbp	Ms71	1814.1167863047	-3.37860861139002e-06	0.0732930962825261	0.0398335942946571
GY	rlcbp	Ms71	34.3575704566902	-2.43514829386732e-08	0.00140547393613894	0.78582182057573
GYraw	rlcbp	Ms71	-19.4334033987198	5.57853040501842e-08	0.00990586122994025	0.469701345905255
DTS	rlcbp	NC350	61.1874800318911	2.17820092391483e-08	0.000682539082985685	0.83377894234987
PH	rlcbp	NC350	114.802123300806	2.83777340602663e-07	0.00262763068209858	0.680369112647244
GY	rlcbp	NC350	66.1187808803981	-9.01792039878691e-08	0.0544150489756851	0.0635870174585205
GYraw	rlcbp	NC350	45.6109324410677	-8.12897445110694e-08	0.044213657669332	0.0953730294649233
DTS	rlcbp	NC358	88.2256588285661	-4.0200858344872e-08	0.00423476639220936	0.60654003686462
PH	rlcbp	NC358	1214.3352785992	-2.07419637302348e-06	0.110494911606922	0.00682318942382634
GY	rlcbp	NC358	-5.9095572285304	6.19853903558307e-08	0.0142970899387358	0.35462017584627
GYraw	rlcbp	NC358	31.8346687933517	-5.34026434200612e-08	0.0116920536008057	0.398924056625948
DTS	rlcbp	Oh43	119.545713641152	-1.09242956254947e-07	0.0523690340521656	0.0712261603529242
PH	rlcbp	Oh43	964.939652040854	-1.52975089676218e-06	0.100100191960025	0.0108654212108552
GY	rlcbp	Oh43	42.0826699252292	-3.988994497116e-08	0.0206787582782458	0.281513515300945
GYraw	rlcbp	Oh43	25.8788134574162	-4.1011023315146e-08	0.0146174101448764	0.365971886224804
DTS	rlcbp	Oh7B	117.56575503131	-1.00288795887078e-07	0.0302018016970539	0.169638077262048
PH	rlcbp	Oh7B	-271.588883790193	1.10470275331461e-06	0.0453299113378485	0.0911959233142737
GY	rlcbp	Oh7B	28.1929020537343	-1.05019318966328e-08	0.000504049641154731	0.868340080714095
GYraw	rlcbp	Oh7B	-17.8074319347925	5.0997466054296e-08	0.0119498659757633	0.409839399545102
DTS	rlcbp	P39	209.322094543723	-3.02770364020591e-07	0.266056866835417	3.41405913494307e-05
PH	rlcbp	P39	148.071952608841	1.82242265069573e-07	0.00293800726555821	0.68613046470565
GY	rlcbp	P39	99.3899583902765	-1.65336655020807e-07	0.139911510356619	0.0189866819338058
GYraw	rlcbp	P39	65.6127577573317	-1.26821292440129e-07	0.0977576197938104	0.0526301543901963
DTS	rlcbp	Tx303	93.4300471993551	-4.86806841185986e-08	0.00492154926818809	0.578683913200441
PH	rlcbp	Tx303	429.332233614881	-3.59648962512019e-07	0.00244455669490109	0.695706522072659
GY	rlcbp	Tx303	5.53065818564681	3.70881439460166e-08	0.00354338088874377	0.640328604562571
GYraw	rlcbp	Tx303	-49.1273300796706	1.17877939526686e-07	0.0483576007082391	0.0808113131102518
DTS	rlcbp	Tzi8	13.5406006841435	1.19481017640985e-07	0.0553775091206956	0.0552407179810482
PH	rlcbp	Tzi8	439.133022168983	-4.0547896313877e-07	0.00846713697788529	0.458941462650964
GY	rlcbp	Tzi8	45.9021844220401	-4.71467938942879e-08	0.0118778420825674	0.403104811015843
GYraw	rlcbp	Tzi8	32.581773000736	-5.47647031349979e-08	0.0203341540423794	0.272948205299673
DTS	rlgbp	B97	64.5637848473248	4.84351210451411e-09	0.000651559212464707	0.838789290933414
PH	rlgbp	B97	62.274926619144	2.26317812889372e-07	0.00687951312055642	0.507908187073328
GY	rlgbp	B97	17.8907169963807	6.36468719325748e-09	0.00159003381043523	0.750572329783893
GYraw	rlgbp	B97	9.94068434489246	-3.05383328067937e-09	0.000532519174840343	0.854079481713467
DTS	rlgbp	CML103	26.2684264274796	5.2693266250981e-08	0.0300062467308331	0.160965526269672
PH	rlgbp	CML103	196.392965401396	6.15869927932887e-08	0.000646200728673618	0.838202856714591
GY	rlgbp	CML103	36.4855291119094	-1.59949316209811e-08	0.00528899279278244	0.558644385832087
GYraw	rlgbp	CML103	22.3196829469045	-1.89692059021171e-08	0.0127219761862393	0.36347139824444
DTS	rlgbp	CML228	36.6043177034705	4.21679132129341e-08	0.0121726562621418	0.33946404316392
PH	rlgbp	CML228	356.062528022835	-1.28777958137833e-07	0.00233539190299983	0.67641076409846
GY	rlgbp	CML228	47.1544049648018	-2.82262714761813e-08	0.0228393379035137	0.205082434444349
GYraw	rlgbp	CML228	19.8623311001922	-1.58005722583184e-08	0.00724824658041408	0.477048522213633
DTS	rlgbp	CML247	-31.776392070638	1.24667557558518e-07	0.160553129378764	0.000486964750140571
PH	rlgbp	CML247	-52.3461339169392	3.54426491414456e-07	0.0187171522365461	0.25181265738757
GY	rlgbp	CML247	57.5211083066672	-4.12662190645192e-08	0.0537302453689698	0.0535044736867729
GYraw	rlgbp	CML247	39.2564905530881	-3.98891504734895e-08	0.0617622583981192	0.0380331049395754
DTS	rlgbp	CML277	72.0095963085323	2.18360299913909e-10	2.12348328718721e-07	0.997093231107825
PH	rlgbp	CML277	331.554574518537	-1.00735544978896e-07	0.00111197246924627	0.792008853360346
GY	rlgbp	CML277	15.496683630265	9.49922518600439e-09	0.00313766312086122	0.662805150683478
GYraw	rlgbp	CML277	7.60361016832135	-1.53113897109437e-09	7.45178171656846e-05	0.946465089766578
DTS	rlgbp	CML322	57.5910745398941	1.53173464871815e-08	0.0138249017092826	0.321831637568246
PH	rlgbp	CML322	285.806015170032	-3.78162566785639e-08	0.00144388106972782	0.749597206918769
GY	rlgbp	CML322	37.6762154664231	-1.68871684065696e-08	0.0569476764193033	0.0435151121888633
GYraw	rlgbp	CML322	20.3511006904905	-1.60286615027831e-08	0.059780742104728	0.0384636444805633
DTS	rlgbp	CML333	24.2098177147741	5.7044470980061e-08	0.0756731470796678	0.0253883860256304
PH	rlgbp	CML333	105.491803485837	1.73198892753754e-07	0.0112259354163962	0.397160737355753
GY	rlgbp	CML333	27.6735894075032	-5.12340661723274e-09	0.0018500890429679	0.733699868120683
GYraw	rlgbp	CML333	16.0959260271225	-1.19782681590624e-08	0.00946339150670326	0.440760693628259
DTS	rlgbp	CML52	11.3237792228358	7.3555880803376e-08	0.0996166510896434	0.0132205107591395
PH	rlgbp	CML52	439.13940249391	-2.23990086237734e-07	0.0187191025087063	0.288973491489153
GY	rlgbp	CML52	35.2348388276294	-1.41747105100194e-08	0.0159537497354738	0.340459353702734
GYraw	rlgbp	CML52	19.1049578543013	-1.56111377562783e-08	0.020406726651957	0.27208516224852
DTS	rlgbp	CML69	71.7284281165569	-1.94666732894093e-10	4.11371637801708e-07	0.995890000781658
PH	rlgbp	CML69	473.73176601464	-2.70428477378234e-07	0.00642518625033455	0.519052378061595
GY	rlgbp	CML69	17.8623142467175	7.42690303710519e-09	0.00152820705806065	0.759078013213699
GYraw	rlgbp	CML69	7.3788378965102	-1.6361562455551e-09	9.60997064792998e-05	0.938223415942189
DTS	rlgbp	Il14H	53.7886543025833	1.72721603831012e-08	0.0162277790750083	0.398861169400358
PH	rlgbp	Il14H	166.561217536484	9.78904798263963e-08	0.00641346416452336	0.596763899579311
GY	rlgbp	Il14H	8.23227495298788	1.71970020077669e-08	0.0148034611539455	0.571157528409033
GYraw	rlgbp	Il14H	-13.9716328551921	2.48122004369817e-08	0.034042231122291	0.38809349053604
DTS	rlgbp	Ki11	30.4975155742613	5.03858331420827e-08	0.0240974801815224	0.26703587535447
PH	rlgbp	Ki11	516.236889581347	-3.12651617522914e-07	0.0313883083146139	0.204401727876368
GY	rlgbp	Ki11	40.7710775702175	-2.14471476377986e-08	0.0316946521673595	0.206697112150964
GYraw	rlgbp	Ki11	32.7796487066925	-3.23503340734702e-08	0.0550731053702309	0.0940096087692143
DTS	rlgbp	Ki3	12.6907469105513	6.96875140247399e-08	0.0494490322419137	0.0568761722442224
PH	rlgbp	Ki3	390.599261423496	-1.84098014838215e-07	0.00515996061938635	0.543057429509314
GY	rlgbp	Ki3	19.3362405458977	5.23485202992904e-09	0.000892090941488464	0.807522703754835
GYraw	rlgbp	Ki3	6.61817332315252	2.46892561647097e-10	1.77592089399377e-06	0.991329173940073
DTS	rlgbp	Ky21	41.2251487575005	3.52812534629952e-08	0.0263839713052582	0.179119694552171
PH	rlgbp	Ky21	-202.845766818886	5.43783088085815e-07	0.0980477143992906	0.00830634000545225
GY	rlgbp	Ky21	20.242838641075	3.4609310255236e-09	0.000621399563000654	0.85529696891908
GYraw	rlgbp	Ky21	16.4252807853736	-1.16805778148181e-08	0.0134519816778724	0.390254973251704
DTS	rlgbp	M162W	57.333312411686	1.53123710488646e-08	0.00580890687723905	0.539870593886105
PH	rlgbp	M162W	320.952713058523	-9.33835124113366e-08	0.0027371724658096	0.674141889025153
GY	rlgbp	M162W	26.6091887945522	-3.80485732279193e-09	0.00108586830431723	0.791222207273573
GYraw	rlgbp	M162W	3.68270296028023	3.69656400326582e-09	0.00139475117339055	0.765924375292951
DTS	rlgbp	M37W	33.7121496244211	4.52365157959405e-08	0.0312952952745779	0.148975955088084
PH	rlgbp	M37W	209.007255026787	5.82428369796448e-08	0.000473206494735724	0.860233084515716
GY	rlgbp	M37W	50.8123588989133	-3.28283599822632e-08	0.048262132838689	0.0740568873790295
GYraw	rlgbp	M37W	41.2774000413467	-4.1438819818263e-08	0.0688091491472563	0.0319976816632407
DTS	rlgbp	Mo18W	24.6862692119403	5.65024305247295e-08	0.0891019348254136	0.0184453139392344
PH	rlgbp	Mo18W	-278.459248683697	6.26962358292193e-07	0.0885899431352205	0.0188011826173904
GY	rlgbp	Mo18W	57.2189836117548	-4.07958008897203e-08	0.0638406057182571	0.0494639062940922
GYraw	rlgbp	Mo18W	38.019455089026	-3.78678618108356e-08	0.0576064807291796	0.062445410108654
DTS	rlgbp	Ms71	76.7611289029755	-1.07023208963594e-08	0.00132491001399587	0.786187763184258
PH	rlgbp	Ms71	-17.8133574162346	2.95362494313944e-07	0.00708387599479622	0.529905706338489
GY	rlgbp	Ms71	-14.734329025911	4.53626761456684e-08	0.0596013978330576	0.072455182611335
GYraw	rlgbp	Ms71	-33.2004104308884	4.81443690323188e-08	0.0901635018226776	0.0259200970536938
DTS	rlgbp	NC350	45.5374779770599	3.09740689397396e-08	0.0182593144758632	0.275599900244759
PH	rlgbp	NC350	111.220087445733	1.64600880676887e-07	0.0116957884125925	0.383687667175625
GY	rlgbp	NC350	44.4930310976385	-2.5154285868988e-08	0.0607111769530742	0.0496815325018648
GYraw	rlgbp	NC350	31.9651815746256	-2.96509181762801e-08	0.0801109958285139	0.0234366166884412
DTS	rlgbp	NC358	79.7565092190302	-1.25840896199074e-08	0.00474468453576864	0.58560592458879
PH	rlgbp	NC358	1031.73408878498	-9.55759133726885e-07	0.268252873872975	9.93071885358455e-06
GY	rlgbp	NC358	23.8753524552597	-7.48627063825738e-10	2.51786679320119e-05	0.969124294484267
GYraw	rlgbp	NC358	14.4609785877106	-9.33722770383941e-09	0.00425857882719712	0.611356893189573
DTS	rlgbp	Oh43	84.4780250284777	-1.98343550044058e-08	0.0257728852349472	0.20879133906215
PH	rlgbp	Oh43	547.332552626927	-3.6545875865425e-07	0.0830940682616651	0.0208936786068244
GY	rlgbp	Oh43	23.8016376124027	-7.05347428463123e-10	9.44104548506275e-05	0.942291935858675
GYraw	rlgbp	Oh43	5.68482086682896	9.45632554072372e-10	0.000113482888974985	0.936741752495468
DTS	rlgbp	Oh7B	91.4515884012884	-2.55177996422352e-08	0.0304271431169002	0.168030022728913
PH	rlgbp	Oh7B	107.656129785784	1.7108044372546e-07	0.0169177049315743	0.305648282468837
GY	rlgbp	Oh7B	37.8593824748441	-1.75758948029848e-08	0.0236987317548046	0.252900342943629
GYraw	rlgbp	Oh7B	2.84600177256338	4.11590059849903e-09	0.00128028618959611	0.787894760834759
DTS	rlgbp	P39	126.077561775909	-7.02103925067051e-08	0.182783745209639	0.000815811528519334
PH	rlgbp	P39	213.572561541212	2.39540448955994e-08	0.00064848419841866	0.849507178289896
GY	rlgbp	P39	47.0610924647985	-3.01696765987419e-08	0.0726194966932729	0.0971159536623444
GYraw	rlgbp	P39	23.8819981527987	-2.12483370128691e-08	0.0427772572337103	0.206474014563843
DTS	rlgbp	Tx303	64.060523721733	7.79109324025413e-09	0.00147295826589438	0.761485567041611
PH	rlgbp	Tx303	-10.7290350039715	3.26264206874787e-07	0.0235064204890656	0.222719048713258
GY	rlgbp	Tx303	15.9964962901581	8.40944471183284e-09	0.00211939734150805	0.717928921865336
GYraw	rlgbp	Tx303	-7.43498583700715	1.65741076975723e-08	0.0111221844580959	0.406888252182811
DTS	rlgbp	Tzi8	22.2227723982753	5.76420148595202e-08	0.0732994500461904	0.0266948661866405
PH	rlgbp	Tzi8	253.337634589091	-8.78274346434547e-09	2.25916080643853e-05	0.969549319393405
GY	rlgbp	Tzi8	42.1211595648358	-2.23168756248631e-08	0.0151067961863202	0.345332898086286
GYraw	rlgbp	Tzi8	24.5430494183187	-2.15660242434342e-08	0.0178993466316027	0.303980805053104
DTS	rlxbp	B97	63.6883363998761	4.95779842074146e-08	0.0021038614666367	0.714585095918243
PH	rlxbp	B97	480.017071921562	-2.32820794406988e-06	0.0224372724087266	0.229967879198758
GY	rlxbp	B97	29.1385890687123	-6.04101003978666e-08	0.00441446059862724	0.596080323445859
GYraw	rlxbp	B97	16.5575158022578	-9.26784981308781e-08	0.0151150252342403	0.325386636280807
DTS	rlxbp	CML103	21.3964832154049	4.88892407175461e-07	0.0490498666795951	0.0716791452588687
PH	rlxbp	CML103	26.6382246223729	2.22236243076768e-06	0.01597824327579	0.308063228783763
GY	rlxbp	CML103	2.90207252274621	2.0443257706263e-07	0.0164065858744155	0.301613796036732
GYraw	rlxbp	CML103	-3.98858178831228	1.06393524092675e-07	0.00759970046699303	0.483005379007639
DTS	rlxbp	CML228	67.9200926661945	3.84543965318851e-08	0.000258834835955542	0.889549317091876
PH	rlxbp	CML228	40.6061288334411	2.07772295437418e-06	0.0155439561545322	0.279986428875679
GY	rlxbp	CML228	26.9663313539145	-3.35076775669701e-08	0.000788474506539968	0.814875467435433
GYraw	rlxbp	CML228	4.01806822783635	2.6618908112888e-08	0.000508716768389123	0.850831338961624
DTS	rlxbp	CML247	27.9900886593918	4.38159402840051e-07	0.0385470597817964	0.0983464157509793
PH	rlxbp	CML247	15.8776474105331	2.26212007791375e-06	0.0148195099593453	0.308356983876658
GY	rlxbp	CML247	32.7973311667939	-9.56432672415865e-08	0.00541982477803036	0.544729356622445
GYraw	rlxbp	CML247	15.8541610611733	-9.74132006866639e-08	0.00691665627472059	0.493672863601957
DTS	rlxbp	CML277	68.9671697490185	3.22754986631117e-08	0.000100406111907106	0.936857185720048
PH	rlxbp	CML277	104.641047858329	1.43076461923907e-06	0.00485487087691164	0.581274286738545
GY	rlxbp	CML277	25.5303806051188	-2.11385876620074e-08	0.000354459291233626	0.88356151293537
GYraw	rlxbp	CML277	8.77510958864985	-2.44998942379945e-08	0.000435255037359833	0.871073788656706
DTS	rlxbp	CML322	57.2646253349823	1.30326031798445e-07	0.0162281875000138	0.282815111554943
PH	rlxbp	CML322	172.572792092977	8.06428471130223e-07	0.0106467914324731	0.385008980540471
GY	rlxbp	CML322	28.6919572044699	-5.12467002797035e-08	0.00821549019346587	0.44892975323307
GYraw	rlxbp	CML322	12.2930573233332	-5.3284519204357e-08	0.0103492342667484	0.395147614108418
DTS	rlxbp	CML333	29.6132759782974	4.18619669235502e-07	0.108079114104934	0.00703597093703231
PH	rlxbp	CML333	207.277871756215	4.24363432924629e-07	0.0017872942524995	0.736084038670828
GY	rlxbp	CML333	19.6412300354157	3.72385091407997e-08	0.00261731747822868	0.685679671383574
GYraw	rlxbp	CML333	8.4530657571956	-2.33730387765728e-08	0.00096490811024953	0.80596276504093
