"genotype","DTS","PH","GY"
"Z016E0060/PHZ51",69.6553649423142,251.876872855065,24.4226928358225
"Z016E0097/PHZ51",71.6751844641599,268.65629261773,24.4191870414603
"Z016E0197/PHZ51",71.8218342764493,269.998871842472,24.3626185280176
"Z016E0074/PHZ51",69.5837098841513,252.78129261773,23.4540102050289
"Z016E0049/PHZ51",71.9305547211907,242.40629261773,22.7610796294869
"Z016E0065/PHZ51",70.6372729448071,271.841849463658,23.8179128254564
"Z016E0177/PHZ51",70.9602818650254,260.15629261773,23.0043854376988
"Z016E0033/PHZ51",72.7481401581003,264.628751521798,22.3400670583545
"Z016E0163/PHZ51",72.1548209266424,272.842241026887,23.6539088598718
"Z016E0042/PHZ51",72.1792545521313,282.928985974354,24.1955984774852
"Z016E0194/PHZ51",72.1072519777804,267.841849463658,24.0827429138016
"Z016E0174/PHZ51",72.137675554425,253.78129261773,23.95315634927
"Z016E0181/PHZ51",71.350218689616,255.345358753078,23.1821316695316
"Z016E0040/PHZ51",72.6120584147615,251.53129261773,23.3528929304211
"Z016E0173/PHZ51",71.179687230105,254.40629261773,24.0713341078522
"Z016E0117/PHZ51",72.1493575954401,262.561865214874,24.1561798920339
"Z016E0084/PHZ51",71.3368430563019,244.2533507663,23.0003945042208
"Z016E0015/PHZ51",71.360852370858,261.497986546923,24.2321977151362
"Z016E0082/PHZ51",71.9359759604237,254.358041344474,24.0688699822412
"Z016E0027/PHZ51",70.1730966025056,256.126872855065,23.5895451399936
"Z016E0107/PHZ51",71.4011050888795,242.11998553433,21.9447545988935
"Z016E0096/PHZ51",72.330133779336,279.53129261773,23.8589987551407
"Z016E0183/PHZ51",69.9254381448493,254.126872855065,23.145429129859
"Z016E0095/PHZ51",69.908683255818,265.78129261773,22.3495167912786
"Z016E0168/PHZ51",71.688193680981,257.876872855065,23.8555789091499
"Z016E0076/PHZ51",70.3894772605918,259.03129261773,22.4413189557161
"Z016E0085/PHZ51",70.9682218623617,259.78129261773,24.300237014693
"Z016E0154/PHZ51",71.5867924122686,265.53129261773,24.4081644037208
"Z016E0002/PHZ51",71.1297691444761,264.024708011141,24.0166553372006
"Z016E0130/PHZ51",70.5260353016406,254.024708011141,22.8664448416685
"Z016E0120/PHZ51",71.0542826122068,262.28129261773,23.238847768682
"Z016E0050/PHZ51",71.7636985153408,267.126872855065,24.4699803318071
"Z016E0062/PHZ51",72.024567040819,245.262883539758,22.6446463835391
"Z016E0055/PHZ51",71.7294896741414,275.262883539758,23.0640853500781
"Z016E0058/PHZ51",71.2452976098347,249.78129261773,23.7113986023606
