line	SAM_width	SAM_height	SAM_arc.length	SAM_midpoint.width	SAM_volume	SAM_height.width.ratio
Z5-E87	142	132	165	121	2398362.5	0.93
Z5-E88	134	91	124	110	1043979	0.68
Z5-E90	137	135	167	115	2314752.25	0.99
Z5-E91	148	132	166	121	2398719.667	0.89
Z5-E92	114	116	141	97	1483855.2	1.02
Z5-E93	142	106	143	121	1496915.4	0.75
Z5-E94	153	102	141	131	1494956.5	0.67
Z5-E95	123	98	126	101	1120847.333	0.80
Z5-E96	135	134	166	112	2545675.6	0.99
Z5-E97	144	81	121	115	937845	0.56
Z5-E99	139	116	150	125	1754903.25	0.84
